2011 296 20 2431 51 52  65  40   4.2   3.2 -22.5 316.6   2.2  -2.1  -1.2  -2.3  -0.7   1.1   3.0   2.0   1.9   1.0   21225.  13.9  303.  -3.2  -1.9 0.036    8032.   1.3    5.   1.5   0.9 0.008  2.44   0.21   4.90  13.4  5.9 0.0066  7 134     6   3 153.9   25    -6    19   0.5 0.007993 999999.99 99999.99 99999.99     4.32     0.17     0.07 -1
2011 296 21 2431 51 52  62  37   5.7   5.4 -40.2 320.1   3.2  -2.7  -3.5  -3.3  -2.9   0.4   1.7   0.6   1.3   0.8   14107.  14.8  311.  -1.4  -3.3 0.037    2465.   1.6    2.   0.8   1.1 0.007  2.74   0.90   2.70  10.5  5.8 0.0108 10 134     6   4 153.9   32    -5    27   0.9 0.007993 999999.99 99999.99 99999.99     2.42     0.14     0.06 -1
2011 296 22 2431 51 52  59  36   5.2   4.9 -48.2 324.2   2.7  -1.9  -3.7  -2.5  -3.3   0.6   1.9   0.4   0.7   1.6   15834.  18.9  312.  -3.2  -1.2 0.042    1180.   1.2    1.   0.3   0.4 0.004  3.59   1.03   4.19  13.0  6.1 0.0070 10 134     4   4 153.9   74   -22    52   1.2 0.007993 999999.99 99999.99 99999.99     2.96     0.14     0.06 -1
2011 296 23 2431 51 52  61  37   5.7   5.4 -42.8 317.6   2.9  -2.7  -3.7  -3.3  -3.1   0.6   1.6   0.3   0.9   1.4   20145.  17.8  314.  -3.1  -2.0 0.038    5673.   2.1    3.   0.5   0.6 0.005  3.38   0.97   3.38  11.6  5.9 0.0088 10 134    -2   4 153.9  213  -102   111   1.4 0.007993 999999.99 99999.99 99999.99     3.24     0.14     0.06 -1
2011 297  0 2432 51 52  29  17   7.6   7.3   5.0 309.5   4.6  -5.6   0.6  -5.4   1.7   0.3   1.9   0.4   0.6   1.8   51702.   9.3  327.   0.5  -1.4 0.031   12887.   2.0    7.   1.7   1.0 0.009  1.87  -0.56   1.21   6.6  4.6 0.0276 17 130    -9   6 143.8  175   -57   118   1.0 0.007918 999999.99 99999.99 99999.99     3.56     0.16     0.07 -1
2011 297  1 2432 51 52  63  38   7.4   7.3  10.2 306.3   4.3  -5.8   1.3  -5.4   2.6   0.2   0.9   0.3   0.2   0.8   70923.   7.8  339.   1.7   0.6 0.044    4141.   0.3    4.   0.5   0.8 0.003  1.76  -0.88   1.18   6.4  4.5 0.0291 17 130    -8   6 143.8   78   -10    68   0.7 0.007918 999999.99 99999.99 99999.99     2.86     0.16     0.07 -1
2011 297  2 2432 51 52  58  35   8.0   7.9  24.6 303.0   3.9  -6.0   3.3  -4.9   4.8   0.3   1.6   0.6   0.9   1.2   60444.   7.1  338.   0.3   0.4 0.043    6127.   0.4    4.   0.7   0.7 0.003  1.59  -1.62   0.87   5.6  4.3 0.0375 17 130    -7   6 143.8   54    -8    46   0.6 0.007918 999999.99 99999.99 99999.99     2.15     0.14     0.07 -1
2011 297  3 2432 51 52  59  35   8.0   7.7  19.7 307.3   4.4  -5.7   2.6  -4.6   4.2   0.3   2.2   0.8   0.9   1.9   53840.   7.0  337.   0.8  -0.4 0.042    4846.   0.3    3.   0.7   1.9 0.010  1.55  -1.42   0.83   5.6  4.3 0.0383  3 130    -8   2 143.8   46   -10    36   0.1 0.007918 999999.99 99999.99 99999.99     1.75     0.15     0.08 -1
2011 297  4 2432 51 52  61  37   7.2   7.2 -12.6 329.7   6.1  -3.6  -1.6  -3.9  -0.2   0.1   0.5   0.2   0.3   0.4   66115.   8.1  332.   2.0  -3.9 0.058    2609.   0.2    1.   0.2   0.4 0.003  1.84   0.07   1.26   6.6  4.5 0.0276  3 130    -7   2 143.8   50    -8    42   0.1 0.007918 999999.99 99999.99 99999.99     1.68     0.15     0.07 -1
2011 297  5 2432 51 52  57  34   7.2   6.2  -8.3 327.9   5.2  -3.2  -0.9  -3.3   0.4   0.4   3.6   1.3   2.9   1.6   55476.   9.1  336.   0.6  -2.3 0.042   12754.   1.1   10.   2.8   1.4 0.010  2.00  -0.13   1.34   7.0  4.8 0.0240  3 130    -4   2 143.8   65     1    66   0.2 0.007918 999999.99 99999.99 99999.99     1.61     0.14     0.07 -1
