2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000
 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
    84    113    125    162    116    135     84    140    149    111    122    156    173    237    218    213    114     99    203    193    191    183    205    282
   0.7    0.6    0.8    0.2   -0.9   -1.2    0.1    0.3    0.6    0.6    0.1    0.3    0.5    3.0    2.7    2.5   -1.5   -0.5    0.6    1.2    0.4    1.5    3.2    5.7
 0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684  0.008684
   2200.00    5680.00    7330.00    8330.00    9110.00    9400.00    9700.00   10200.00   10500.00   10500.00   10600.00   11000.00   11300.00   12300.00   13300.00   13700.00   13400.00   14700.00   15200.00   16300.00   16700.00   16800.00   17500.00   19100.00
  2180.00   5630.00   7200.00   8150.00   8930.00   9200.00   9490.00   9940.00  10200.00  10200.00  10200.00  10600.00  10900.00  11700.00  12600.00  12800.00  12300.00  13200.00  13600.00  14400.00  14300.00  14000.00  14000.00  14500.00
  2030.00   5210.00   6650.00   7580.00   8320.00   8560.00   8820.00   9160.00   9320.00   9240.00   9260.00   9570.00   9730.00  10300.00  10900.00  10800.00   9750.00   9880.00   9990.00  10300.00   9750.00   9120.00   8520.00   8060.00
  1720.00   4290.00   5520.00   6280.00   6860.00   6990.00   7120.00   7270.00   7310.00   7180.00   7130.00   7290.00   7300.00   7530.00   7730.00   7230.00   5820.00   5260.00   5110.00   5050.00   4490.00   3940.00   3450.00   2960.00
  1090.00   2320.00   2890.00   3150.00   3220.00   3130.00   3010.00   2910.00   2790.00   2630.00   2520.00   2430.00   2320.00   2290.00   2170.00   1750.00   1170.00    923.00    860.00    810.00    694.00    595.00    504.00    432.00
   629.00   1020.00   1160.00   1220.00   1200.00   1130.00   1050.00    998.00    934.00    868.00    820.00    783.00    741.00    736.00    703.00    572.00    391.00    318.00    298.00    284.00    242.00    210.00    174.00    153.00
 -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
